text,label
39mH,电感
L31,电感
51mH,电感
L32,电感
62mH,电感
L33,电感
75mH,电感
L34,电感
87mH,电感
L35,电感
91mH,电感
L36,电感
120mH,电感
L37,电感
150mH,电感
L38,电感
180mH,电感
L39,电感
270mH,电感
L40,电感
330mH,电感
L41,电感
390mH,电感
L42,电感
510mH,电感
L43,电感
620mH,电感
L44,电感
750mH,电感
L45,电感
870mH,电感
L46,电感
910mH,电感
L47,电感
1.2mH,电感
L48,电感
1.5mH,电感
L49,电感
1.8mH,电感
L50,电感
2.7mH,电感
L51,电感
3.9mH,电感
L52,电感
5.6mH,电感
L53,电感
7.5mH,电感
L54,电感
9.1mH,电感
L55,电感
11mH,电感
L56,电感
13mH,电感
L57,电感
16mH,电感
L58,电感
19mH,电感
L59,电感
24mH,电感
L60,电感
28mH,电感
L61,电感
36mH,电感
L62,电感
43mH,电感
U1,芯片
STM32F103,芯片
U2 STM32F407,芯片
U3,芯片
ATmega328P,芯片
U4 ESP8266,芯片
U5,芯片
ESP32,芯片
U6 Arduino Uno,芯片
U7,芯片
PIC16F877A,芯片
U8 51单片机,芯片
U9,芯片
STM32F030,芯片
U10 STM32L476,芯片
U11,芯片
NRF52832,芯片
U12 CC2530,芯片
U13,芯片
STM32F767,芯片
U14 STM32H743,芯片
U15,芯片
ATtiny85,芯片
U16 MSP430F149,芯片
U17,芯片
LPC1768,芯片
U18 Raspberry Pi Pico,芯片
U19,芯片
STM32F303,芯片
U20 STM32G071,芯片
U21,芯片
ESP32-C3,芯片
U22 ESP32-S3,芯片
U23,芯片
ATmega2560,芯片
U24 PIC24FJ64GA002,芯片
U25,芯片
STM32F107,芯片
U26 STM32F429,芯片
U27,芯片
STM32F469,芯片
U28 STM32F746,芯片
U29,芯片
STM32H753,芯片
U30 STM32L071,芯片
U31,芯片
STM32L100,芯片
U32 STM32WB55,芯片
U33,芯片
CC2652R,芯片
U34 NRF52840,芯片
U35,芯片
MSP430FR5994,芯片
U36 LPC1114,芯片
U37,芯片
PIC18F4550,芯片
U38 ATmega128,芯片
U39,芯片
STM32F072,芯片
U40 STM32F105,芯片
U41,芯片
STM32F207,芯片
U42 STM32F373,芯片
U43,芯片
STM32F411,芯片
U44 STM32F412,芯片
U45,芯片
STM32F413,芯片
U46 STM32F427,芯片
U47,芯片
STM32F439,芯片
U48 STM32F446,芯片
U49,芯片
STM32F756,芯片
U50 STM32F769,芯片
U51,芯片
STM32H747,芯片
U52 STM32H750,芯片
U53,芯片
STM32L051,芯片
U54 STM32L151,芯片
U55,芯片
STM32WB57,芯片
U56 CC1352P,芯片
U57,芯片
NRF9160,芯片
U58 MSP430F5529,芯片
U59,芯片
LPC1850,芯片
U60 PIC32MX795F512L,芯片
U61,芯片
ATmega8,芯片
U62 STM32F042,芯片
U63,芯片
ESP32-WROOM-32,芯片
M1,电机
5V,电机
M2 12V 0.5A,电机
M3,电机
24V,电机
M4 6V 0.3A,电机
M5,电机
12V 1A,电机
M6 24V 0.8A,电机
M7,电机
5V 0.2A,电机
M8 9V 0.4A,电机
M9,电机
15V 0.6A,电机
M10 18V 0.7A,电机
M11,电机
3V 0.1A,电机
M12 7.2V 0.35A,电机
M13,电机
10V 0.45A,电机
M14 16V 0.55A,电机
M15,电机
20V 0.65A,电机
M16 28V 0.9A,电机
M17,电机
36V 1.2A,电机
M18 48V 1.5A,电机
M19,电机
0.5A,电机
M20 0.8A,电机
M21,电机
1.2A,电机
M22 1.5A,电机
M23,电机
0.25A,电机
M24 0.3A,电机
M25,电机
0.4A,电机
M26 0.6A,电机
M27,电机
0.7A,电机
M28 0.9A,电机
M29,电机
1A,电机
M30 1.1A,电机
M31,电机
1.3A,电机
M32 1.4A,电机
M33,电机
1.6A,电机
M34 1.7A,电机
M35,电机
1.8A,电机
M36 1.9A,电机
M37,电机
2A,电机
M38 3V,电机
M39,电机
4.5V,电机
M40 6V,电机
M41,电机
7.5V,电机
M42 8V,电机
M43,电机
9V,电机
M44 11V,电机
M45,电机
13V,电机
M46 14V,电机
M47,电机
17V,电机
M48 19V,电机
M49,电机
21V,电机
M50 22V,电机
M51,电机
23V,电机
M52 25V,电机
M53,电机
26V,电机
M54,电机
27V,电机
M55,电机
29V,电机
M56,电机
30V,电机
M57,电机
32V,电机
M58,电机
34V,电机
M59,电机
38V,电机
M60,电机
40V,电机
M61,电机
42V,电机
M62,电机
45V,电机
M63,电机
47V,电机
D1,二极管
1A 400V,二极管
D2 0.5A 200V,二极管
D3,二极管
2A 600V,二极管
D4 3A 800V,二极管
D5,二极管
0.3A 100V,二极管
D6 1A 600V,二极管
D7,二极管
2A 400V,二极管
D8 3A 600V,二极管
D9,二极管
0.5A 400V,二极管
D10 1A 800V,二极管
D11,二极管
2A 200V,二极管
D12 3A 400V,二极管
D13,二极管
0.3A 200V,二极管
D14 0.5A 600V,二极管
D15,二极管
1A 200V,二极管
D16 2A 800V,二极管
D17,二极管
3A 200V,二极管
D18,二极管
0.3A 300V,二极管
D19,二极管
0.5A 800V,二极管
D20,二极管
1A 300V,二极管
D21,二极管
2A 300V,二极管
D22,二极管
3A 300V,二极管
D23,二极管
0.3A 400V,二极管
D24,二极管
0.5A 100V,二极管
D25,二极管
1A 400V,二极管
D26,二极管
2A 500V,二极管
D27,二极管
3A 500V,二极管
D28,二极管
0.3A 500V,二极管
D29,二极管
0.5A 300V,二极管
D30,二极管
1A 500V,二极管
D31,二极管
2A 600V,二极管
D32,二极管
3A 700V,二极管
D33,二极管
0.3A 600V,二极管
D34,二极管
0.5A 400V,二极管
D35,二极管
1A 600V,二极管
D36,二极管
2A 700V,二极管
D37,二极管
3A 800V,二极管
D38,二极管
0.3A 700V,二极管
D39,二极管
0.5A 500V,二极管
D40,二极管
1A 700V,二极管
D41,二极管
2A 800V,二极管
D42,二极管
3A 900V,二极管
D43,二极管
0.3A 800V,二极管
D44,二极管
0.5A 600V,二极管
D45,二极管
1A 800V,二极管
D46,二极管
2A 900V,二极管
D47,二极管
3A 1000V,二极管
D48,二极管
0.3A 900V,二极管
D49,二极管
0.5A 700V,二极管
D50,二极管
1A 900V,二极管
D51,二极管
2A 1000V,二极管
D52,二极管
3A 1100V,二极管
D53,二极管
0.3A 1000V,二极管
D54,二极管
0.5A 800V,二极管
D55,二极管
1A 1000V,二极管
D56,二极管
2A 1100V,二极管
D57,二极管
3A 1200V,二极管
D58,二极管
0.3A 1100V,二极管
D59,二极管
0.5A 900V,二极管
D60,二极管
1A 1100V,二极管
D61,二极管
2A 1200V,二极管
D62,二极管
3A 1300V,二极管
D63,二极管
0.3A 1200V,二极管
GND1,接地
AGND,接地
GND2 DGND,接地
GND3,接地
PGND,接地
GND4 SGND,接地
GND5,接地
GND,接地
GND6 AGND,接地
GND7,接地
DGND,接地
GND8 PGND,接地
GND9,接地
SGND,接地
GND10 AGND,接地
GND11,接地
GND,接地
GND12 DGND,接地
GND13,接地
PGND,接地
GND14 SGND,接地
GND15,接地
AGND,接地
GND16 DGND,接地
GND17,接地
PGND,接地
GND18 SGND,接地
GND19,接地
GND,接地
GND20 AGND,接地
GND21,接地
DGND,接地
GND22 PGND,接地
GND23,接地
SGND,接地
GND24 AGND,接地
GND25,接地
DGND,接地
GND26 PGND,接地
GND27,接地
SGND,接地
GND28 AGND,接地
GND29,接地
GND,接地
GND30 DGND,接地
GND31,接地
PGND,接地
GND32 SGND,接地
GND33,接地
AGND,接地
GND34 DGND,接地
GND35,接地
PGND,接地
GND36 SGND,接地
GND37,接地
GND,接地
GND38 AGND,接地
GND39,接地
DGND,接地
GND40 PGND,接地
GND41,接地
SGND,接地
GND42 AGND,接地
GND43,接地
DGND,接地
GND44 PGND,接地
GND45,接地
SGND,接地
GND46 AGND,接地
GND47,接地
GND,接地
GND48 DGND,接地
GND49,接地
PGND,接地
GND50 SGND,接地
GND51,接地
AGND,接地
GND52 DGND,接地
GND53,接地
PGND,接地
GND54 SGND,接地
GND55,接地
GND,接地
GND56 AGND,接地
GND57,接地
DGND,接地
GND58 PGND,接地
GND59,接地
SGND,接地
GND60 AGND,接地
GND61,接地
DGND,接地
GND62 PGND,接地
GND63,接地
SGND,接地
RV1,压敏电阻
10V,压敏电阻
RV2 22V,压敏电阻
RV3,压敏电阻
33V,压敏电阻
RV4 47V,压敏电阻
RV5,压敏电阻
68V,压敏电阻
RV6 82V,压敏电阻
RV7,压敏电阻
100V,压敏电阻
RV8 120V,压敏电阻
RV9,压敏电阻
150V,压敏电阻
RV10 180V,压敏电阻
RV11,压敏电阻
220V,压敏电阻
RV12 270V,压敏电阻
RV13,压敏电阻
330V,压敏电阻
RV14 390V,压敏电阻
RV15,压敏电阻
470V,压敏电阻
RV16 560V,压敏电阻
RV17,压敏电阻
680V,压敏电阻
RV18 820V,压敏电阻
RV19,压敏电阻
1000V,压敏电阻
RV20 1200V,压敏电阻
RV21,压敏电阻
15V,压敏电阻
RV22 27V,压敏电阻
RV23,压敏电阻
39V,压敏电阻
RV24 51V,压敏电阻
RV25,压敏电阻
75V,压敏电阻
RV26 91V,压敏电阻
RV27,压敏电阻
110V,压敏电阻
RV28 130V,压敏电阻
RV29,压敏电阻
160V,压敏电阻
RV30 190V,压敏电阻
RV31,压敏电阻
240V,压敏电阻
RV32 280V,压敏电阻
RV33,压敏电阻
360V,压敏电阻
RV34 430V,压敏电阻
RV35,压敏电阻
510V,压敏电阻
RV36 620V,压敏电阻
RV37,压敏电阻
750V,压敏电阻
RV38 870V,压敏电阻
RV39,压敏电阻
910V,压敏电阻
RV40 1100V,压敏电阻
RV41,压敏电阻
1300V,压敏电阻
RV42 1500V,压敏电阻
RV43,压敏电阻
18V,压敏电阻
RV44 24V,压敏电阻
RV45,压敏电阻
36V,压敏电阻
RV46 43V,压敏电阻
RV47,压敏电阻
56V,压敏电阻
RV48 62V,压敏电阻
RV49,压敏电阻
78V,压敏电阻
RV50 87V,压敏电阻
RV51,压敏电阻
95V,压敏电阻
RV52 105V,压敏电阻
RV53,压敏电阻
125V,压敏电阻
RV54 140V,压敏电阻
RV55,压敏电阻
170V,压敏电阻
RV56 200V,压敏电阻
RV57,压敏电阻
230V,压敏电阻
RV58 260V,压敏电阻
RV59,压敏电阻
300V,压敏电阻
RV60 330V,压敏电阻
RV61,压敏电阻
360V,压敏电阻
RV62 400V,压敏电阻
RV63,压敏电阻
450V,压敏电阻
R1,电阻
220Ω,电阻
R2 470Ω,电阻
R3-1kΩ,电阻
R4_10kΩ,电阻
R5/330Ω,电阻
1.2MΩ,电阻
2k2Ω,电阻
4k7Ω,电阻
10M5Ω,电阻
R10(2.2kΩ),电阻
C1,电容
10μF,电容
C2 22μF,电容
C3-47nF,电容
C4_100pF,电容
C5/1μ5F,电容
2μ2F,电容
4n7F,电容
10pF/16V,电容
C10(68nF),电容
L1,电感
10mH,电感
L2 22mH,电感
L3-47μH,电感
L4_1mH,电感
L5/150μH,电感
2.7mH,电感
6.8μH,电感
10mH/1A,电感
L10(330μH),电感
U1,芯片
STM32F103,芯片
U2 STM32F407,芯片
U3-ATmega328P,芯片
U4_ESP8266,芯片
U5/ESP32,芯片
STM32F030(5V),芯片
ESP32-C3,芯片
Arduino Uno R3,芯片
U10(PIC16F877A),芯片
M1,电机
5V,电机
M2 12V 0.5A,电机
M3-24V,电机
M4_6V 0.3A,电机
M5/12V 1A,电机
3V/0.1A,电机
9V 0.4A,电机
28V 0.9A,电机
M10(48V 1.5A),电机
D1,二极管
1A 400V,二极管
D2 0.5A 200V,二极管
D3-2A 600V,二极管
D4_3A 800V,二极管
D5/0.3A 100V,二极管
1A 600V/DO-41,二极管
2A 400V/SMA,二极管
3A 800V/TO-220,二极管
D10(0.5A 400V),二极管
GND1,接地
AGND,接地
GND2 DGND,接地
GND3-PGND,接地
GND4_SGND,接地
GND/电源地,接地
DGND(数字地),接地
PGND(功率地),接地
SGND(信号地),接地
GND10(AGND),接地
RV1,压敏电阻
10V,压敏电阻
RV2 22V,压敏电阻
RV3-33V,压敏电阻
RV4_47V,压敏电阻
RV5/68V,压敏电阻
100V/10kA,压敏电阻
220V/5kA,压敏电阻
330V/2kA,压敏电阻
RV10(470V),压敏电阻
SCL,芯片
SCLK,芯片
SPI_CS_B,芯片
WAKE_UP,芯片
ADDR,芯片
DVI,芯片
SDA,芯片
I2C_SDA,芯片
I2C_SCL,芯片
SPI_MOSI,芯片
SPI_MISO,芯片
SPI_CLK,芯片
UART_TX,芯片
UART_RX,芯片
CAN_H,芯片
CAN_L,芯片
USB_D+,芯片
USB_D-,芯片
HDMI_TX,芯片
HDMI_RX,芯片
ETH_TX,芯片
ETH_RX,芯片
GPIO1,芯片
GPIO2,芯片
INT,芯片
RESET,芯片
VCC,芯片
GND_PIN,芯片
NC,芯片
ADC1,芯片
ADC2,芯片
DAC1,芯片
DAC2,芯片
PWM1,芯片
PWM2,芯片
I2S_CLK,芯片
I2S_DATA,芯片
I2S_LRCK,芯片
SD_CLK,芯片
SD_CMD,芯片
SD_DATA0,芯片
SD_DATA1,芯片
SD_DATA2,芯片
SD_DATA3,芯片
QSPI_CLK,芯片
QSPI_CS,芯片
QSPI_IO0,芯片
QSPI_IO1,芯片
QSPI_IO2,芯片
QSPI_IO3,芯片
JTAG_TCK,芯片
JTAG_TMS,芯片
JTAG_TDI,芯片
JTAG_TDO,芯片
JTAG_TRST,芯片
SWD_CLK,芯片
SWD_IO,芯片
RTC_CLK,芯片
RTC_DATA,芯片
TEMP_SENSOR,芯片
LED_CTRL,芯片
BUTTON_INPUT,芯片
RELAY_CTRL,芯片
MOTOR_PWM,芯片
BUZZER_CTRL,芯片
LCD_CS,芯片
LCD_DC,芯片
LCD_RST,芯片
LCD_SDA,芯片
LCD_SCL,芯片
CAM_CS,芯片
CAM_SDA,芯片
CAM_SCL,芯片
SENSOR_SDA,芯片
SENSOR_SCL,芯片
WIFI_TX,芯片
WIFI_RX,芯片
BT_TX,芯片
BT_RX,芯片
GPS_TX,芯片
GPS_RX,芯片
LORA_TX,芯片
LORA_RX,芯片
R1+C1,电阻
C2+L1,电容
U1+D1,芯片
M1+RV1,电机
D2+GND,二极管
R3-L2,电阻
C4-U2,电容
L3-D3,电感
U3-RV2,芯片
M2-GND2,电机
R5/C3,电阻
C6/L4,电容
U4/D4,芯片
M3/RV3,电机
D5/GND3,二极管
R1(100Ω)+C1(10μF),电阻
C2(22μF)+L1(10mH),电容
U1(STM32F103)+D1(1A 400V),芯片
M1(12V)+RV1(22V),电机
D2(0.5A 200V)+GND,二极管
R1#100Ω,电阻
C1$10μF,电容
L1%10mH,电感
U1&STM32F103,芯片
M1*12V,电机
D1@0.5A 200V,二极管
GND#电源地,接地
RV1$22V,压敏电阻
R1_100Ω-1%,电阻
C1_10μF-10%,电容
L1_10mH-5%,电感
U1_STM32F103-QFP48,芯片
M1_12V-0.5A,电机
D1_0.5A 200V-DO-41,二极管
GND_电源地-PCB,接地
RV1_22V-10kA,压敏电阻
# 一、电源类引脚（80条）
VCC_3.3V,芯片
VDD_5V,芯片
VSS_GND,芯片
VCORE_1.8V,芯片
VBAT_BACKUP,芯片
VREF_2.5V,芯片
VDDIO_3.3V,芯片
VCCA_ANALOG,芯片
VDDD_DIGITAL,芯片
VSSA_ANALOG_GND,芯片
VSSD_DIGITAL_GND,芯片
VIN_INPUT_9V,芯片
VOUT_3.3V,芯片
VDDQ_MEMORY,芯片
VPP_PROGRAM,芯片
VDD_REG,芯片
VCC_USB,芯片
VDD_LDO,芯片
VSS_LDO_GND,芯片
VREFP_POSITIVE,芯片
VREFN_NEGATIVE,芯片
VBUS_USB,芯片
VDD_1.2V,芯片
VCC_2.5V,芯片
VSSA_PLL_GND,芯片
VDD_PLL,芯片
VCC_AUX,芯片
VDD_AUX,芯片
VSS_AUX_GND,芯片
VIN_BATTERY,芯片
VOUT_SWITCH,芯片
VDD_SRAM,芯片
VSS_SRAM_GND,芯片
VCC_PERIPH,芯片
VDD_PERIPH,芯片
VSS_PERIPH_GND,芯片
VREF_IN,芯片
VREF_OUT,芯片
VDD_ANA,芯片
VSS_ANA_GND,芯片
VCC_1.0V,芯片
VDD_4.2V,芯片
VSS_BAT_GND,芯片
VCC_LED,芯片
VDD_LED,芯片
VSS_LED_GND,芯片
VCC_SENSOR,芯片
VDD_SENSOR,芯片
VSS_SENSOR_GND,芯片
VCC_ETH,芯片
VDD_ETH,芯片
VSS_ETH_GND,芯片
VCC_WIFI,芯片
VDD_WIFI,芯片
VSS_WIFI_GND,芯片
VCC_BT,芯片
VDD_BT,芯片
VSS_BT_GND,芯片
VCC_GPS,芯片
VDD_GPS,芯片
VSS_GPS_GND,芯片
VCC_LORA,芯片
VDD_LORA,芯片
VSS_LORA_GND,芯片
VCC_CAM,芯片
VDD_CAM,芯片
VSS_CAM_GND,芯片
VCC_LCD,芯片
VDD_LCD,芯片
VSS_LCD_GND,芯片
VCC_SD,芯片
VDD_SD,芯片
VSS_SD_GND,芯片
VCC_USB_HOST,芯片
VDD_USB_HOST,芯片
VSS_USB_HOST_GND,芯片
VCC_USB_DEVICE,芯片
VDD_USB_DEVICE,芯片
VSS_USB_DEVICE_GND,芯片
# 二、通信接口引脚（150条）
I2C_SCL_MASTER,芯片
I2C_SDA_MASTER,芯片
I2C_SCL_SLAVE,芯片
I2C_SDA_SLAVE,芯片
I2C_A0_ADDRESS,芯片
I2C_A1_ADDRESS,芯片
I2C_A2_ADDRESS,芯片
SPI_SCLK_MASTER,芯片
SPI_MOSI_MASTER,芯片
SPI_MISO_MASTER,芯片
SPI_CS0_B,芯片
SPI_CS1_B,芯片
SPI_CS2_B,芯片
SPI_HOLDB,芯片
SPI_WPB,芯片
SPI_SCK_SLAVE,芯片
SPI_SI_SLAVE,芯片
SPI_SO_SLAVE,芯片
SPI_CSB_SLAVE,芯片
UART_TX_1,芯片
UART_RX_1,芯片
UART_CTS_1,芯片
UART_RTS_1,芯片
UART_TX_2,芯片
UART_RX_2,芯片
UART_CTS_2,芯片
UART_RTS_2,芯片
UART_TX_3,芯片
UART_RX_3,芯片
UART_CTS_3,芯片
UART_RTS_3,芯片
USART_TX,芯片
USART_RX,芯片
USART_CLK,芯片
USART_CS,芯片
CAN_H_1,芯片
CAN_L_1,芯片
CAN_H_2,芯片
CAN_L_2,芯片
CAN_STB,芯片
CAN_ERR,芯片
USB_DP,芯片
USB_DM,芯片
USB_ID,芯片
USB_SUSPEND,芯片
HDMI_TX_CLK,芯片
HDMI_TX_DATA0,芯片
HDMI_TX_DATA1,芯片
HDMI_TX_DATA2,芯片
HDMI_TX_CLK_N,芯片
HDMI_TX_DATA0_N,芯片
HDMI_TX_DATA1_N,芯片
HDMI_TX_DATA2_N,芯片
HDMI_CEC,芯片
HDMI_HPD,芯片
ETH_TX_P,芯片
ETH_TX_N,芯片
ETH_RX_P,芯片
ETH_RX_N,芯片
ETH_MDC,芯片
ETH_MDIO,芯片
ETH_CLK,芯片
ETH_RST,芯片
SD_CLK,芯片
SD_CMD,芯片
SD_D0,芯片
SD_D1,芯片
SD_D2,芯片
SD_D3,芯片
SD_CD,芯片
SD_WP,芯片
QSPI_CLK,芯片
QSPI_CS_B,芯片
QSPI_IO0,芯片
QSPI_IO1,芯片
QSPI_IO2,芯片
QSPI_IO3,芯片
I2S_CLK,芯片
I2S_LRCK,芯片
I2S_SDATA_IN,芯片
I2S_SDATA_OUT,芯片
I2S_MCLK,芯片
LIN_TX,芯片
LIN_RX,芯片
LIN_WAKE,芯片
RS485_A,芯片
RS485_B,芯片
RS485_RE,芯片
RS485_DE,芯片
RS232_TX,芯片
RS232_RX,芯片
RS232_RTS,芯片
RS232_CTS,芯片
SPI_1_SCK,芯片
SPI_1_MOSI,芯片
SPI_1_MISO,芯片
SPI_1_CS,芯片
SPI_2_SCK,芯片
SPI_2_MOSI,芯片
SPI_2_MISO,芯片
SPI_2_CS,芯片
I2C_1_SCL,芯片
I2C_1_SDA,芯片
I2C_2_SCL,芯片
I2C_2_SDA,芯片
UART_4_TX,芯片
UART_4_RX,芯片
UART_5_TX,芯片
UART_5_RX,芯片
CAN_3_H,芯片
CAN_3_L,芯片
USB_OTG_DP,芯片
USB_OTG_DM,芯片
USB_OTG_VBUS,芯片
HDMI_RX_CLK,芯片
HDMI_RX_DATA0,芯片
HDMI_RX_DATA1,芯片
HDMI_RX_DATA2,芯片
ETH_1_TX_P,芯片
ETH_1_TX_N,芯片
ETH_1_RX_P,芯片
ETH_1_RX_N,芯片
ETH_2_TX_P,芯片
ETH_2_TX_N,芯片
ETH_2_RX_P,芯片
ETH_2_RX_N,芯片
SDIO_CLK,芯片
SDIO_CMD,芯片
SDIO_D0,芯片
SDIO_D1,芯片
SDIO_D2,芯片
SDIO_D3,芯片
SDIO_D4,芯片
SDIO_D5,芯片
SDIO_D6,芯片
SDIO_D7,芯片
# 三、GPIO与控制引脚（120条）
GPIOA0_INPUT,芯片
GPIOA1_OUTPUT,芯片
GPIOB0_INPUT,芯片
GPIOB1_OUTPUT,芯片
GPIOC0_INPUT,芯片
GPIOC1_OUTPUT,芯片
GPIOD0_INPUT,芯片
GPIOD1_OUTPUT,芯片
GPIOE0_INPUT,芯片
GPIOE1_OUTPUT,芯片
GPIOF0_INPUT,芯片
GPIOF1_OUTPUT,芯片
GPIOG0_INPUT,芯片
GPIOG1_OUTPUT,芯片
GPIOH0_INPUT,芯片
GPIOH1_OUTPUT,芯片
GPIOA2_EXTI,芯片
GPIOA3_EXTI,芯片
GPIOB2_EXTI,芯片
GPIOB3_EXTI,芯片
GPIOC2_EXTI,芯片
GPIOC3_EXTI,芯片
GPIOD2_EXTI,芯片
GPIOD3_EXTI,芯片
GPIOA4_PWM,芯片
GPIOA5_PWM,芯片
GPIOB4_PWM,芯片
GPIOB5_PWM,芯片
GPIOC4_PWM,芯片
GPIOC5_PWM,芯片
GPIOD4_PWM,芯片
GPIOD5_PWM,芯片
GPIOA6_ADC,芯片
GPIOA7_ADC,芯片
GPIOB6_ADC,芯片
GPIOB7_ADC,芯片
GPIOC6_ADC,芯片
GPIOC7_ADC,芯片
GPIOD6_ADC,芯片
GPIOD7_ADC,芯片
GPIOA8_DAC,芯片
GPIOA9_DAC,芯片
GPIOB8_DAC,芯片
GPIOB9_DAC,芯片
GPIOC8_SPI,芯片
GPIOC9_SPI,芯片
GPIOD8_SPI,芯片
GPIOD9_SPI,芯片
GPIOA10_I2C,芯片
GPIOA11_I2C,芯片
GPIOB10_I2C,芯片
GPIOB11_I2C,芯片
GPIOC10_UART,芯片
GPIOC11_UART,芯片
GPIOD10_UART,芯片
GPIOD11_UART,芯片
RESET_N,芯片
RESET_B,芯片
NRST,芯片
EN_MAIN,芯片
EN_PERIPH,芯片
EN_LED,芯片
EN_SENSOR,芯片
EN_USB,芯片
EN_WIFI,芯片
EN_BT,芯片
EN_GPS,芯片
EN_LORA,芯片
EN_CAM,芯片
EN_LCD,芯片
EN_SD,芯片
INT_1,芯片
INT_2,芯片
INT_3,芯片
INT_4,芯片
IRQ_1,芯片
IRQ_2,芯片
IRQ_3,芯片
IRQ_4,芯片
WAKE_UP,芯片
WAKE_IN,芯片
WAKE_OUT,芯片
POWER_EN,芯片
POWER_OK,芯片
READY,芯片
BUSY,芯片
DONE,芯片
ERROR,芯片
FAULT,芯片
STATUS,芯片
MODE0,芯片
MODE1,芯片
MODE2,芯片
CONFIG0,芯片
CONFIG1,芯片
CONFIG2,芯片
SELECT0,芯片
SELECT1,芯片
SELECT2,芯片
CS0_B,芯片
CS1_B,芯片
CS2_B,芯片
CS3_B,芯片
HOLD,芯片
WP,芯片
OE_B,芯片
WE_B,芯片
ALE,芯片
CLE,芯片
# 四、模拟与功能模块引脚（100条）
